104.835,-0,0,0;
104.835,-2.55725,0.025003,0.01;
104.835,-2.56337,0.0250645,0.02;
104.835,-2.57019,0.0251328,0.03;
104.835,-2.57778,0.0252088,0.04;
104.835,-2.58626,0.0252942,0.05;
104.835,-2.59576,0.0253891,0.06;
104.835,-2.6064,0.0254961,0.07;
104.835,-2.61835,0.0256161,0.08;
104.835,-2.63181,0.0257512,0.09;
104.835,-2.647,0.0259038,0.1;
104.835,-2.66418,0.026076,0.11;
104.835,-2.68364,0.0262715,0.12;
104.835,-2.70572,0.0264934,0.13;
104.835,-2.73076,0.0267449,0.14;
104.835,-2.75912,0.0270303,0.15;
104.835,-2.79105,0.027352,0.16;
104.835,-2.8266,0.0277103,0.17;
104.835,-2.8653,0.0280998,0.18;
104.835,-2.90558,0.0285061,0.19;
104.835,-2.94397,0.0288939,0.2;
104.835,-2.97427,0.0292002,0.21;
104.835,-2.98854,0.0293445,0.22;
104.835,-2.98156,0.0292738,0.23;
104.835,-2.95535,0.0290092,0.24;
104.835,-2.91731,0.0286256,0.25;
104.835,-2.87478,0.0281968,0.26;
104.835,-2.83249,0.0277705,0.27;
104.835,-2.79279,0.027371,0.28;
104.835,-2.75659,0.0270071,0.29;
104.835,-2.72404,0.0266798,0.3;
104.835,-2.69496,0.0263878,0.31;
104.835,-2.66903,0.0261277,0.32;
104.835,-2.64589,0.0258956,0.33;
104.835,-2.6252,0.0256881,0.34;
104.835,-2.60666,0.0255023,0.35;
104.835,-2.58998,0.0253352,0.36;
104.835,-2.57492,0.0251848,0.37;
104.835,-2.56128,0.0250482,0.38;
104.835,-2.54889,0.0249241,0.39;
104.835,-2.53757,0.0248114,0.4;
104.835,-2.52722,0.0247076,0.41;
104.835,-2.51771,0.0246129,0.42;
104.835,-2.50895,0.0245252,0.43;
104.835,-2.50086,0.0244443,0.44;
104.835,-2.49336,0.0243694,0.45;
104.835,-2.48638,0.0243,0.46;
104.835,-2.47989,0.024235,0.47;
104.835,-2.47382,0.0241749,0.48;
104.835,-2.46814,0.0241183,0.49;
104.835,-2.46282,0.0240654,0.5;
104.835,-2.45781,0.0240157,0.51;
104.835,-2.45309,0.0239688,0.52;
104.835,-2.44865,0.0239246,0.53;
104.835,-2.44444,0.0238828,0.54;
104.835,-2.44047,0.0238431,0.55;
104.835,-2.4367,0.0238054,0.56;
104.835,-2.43313,0.0237701,0.57;
104.834,-2.42974,0.0237365,0.58;
104.834,-2.42652,0.0237043,0.59;
104.834,-2.42345,0.0236738,0.6;
104.834,-2.42054,0.0236451,0.61;
104.834,-2.41777,0.0236179,0.62;
104.834,-2.41513,0.0235917,0.63;
104.834,-2.41261,0.0235669,0.64;
104.834,-2.41022,0.0235432,0.65;
104.834,-2.40794,0.0235203,0.66;
104.834,-2.40576,0.0234991,0.67;
104.834,-2.40369,0.0234785,0.68;
104.834,-2.40172,0.0234595,0.69;
104.834,-2.39983,0.0234408,0.7;
104.834,-2.39804,0.0234228,0.71;
104.834,-2.39633,0.0234057,0.72;
104.834,-2.39471,0.0233897,0.73;
104.834,-2.39316,0.0233747,0.74;
104.834,-2.39168,0.02336,0.75;
104.834,-2.39027,0.0233463,0.76;
104.834,-2.38892,0.0233333,0.77;
104.834,-2.38764,0.0233202,0.78;
104.834,-2.38641,0.0233084,0.79;
104.834,-2.38524,0.0232969,0.8;
104.834,-2.38412,0.0232863,0.81;
104.834,-2.38304,0.0232755,0.82;
104.834,-2.38201,0.0232654,0.83;
104.834,-2.38102,0.0232559,0.839999;
104.834,-2.38007,0.0232469,0.849999;
104.834,-2.37915,0.023238,0.859999;
104.834,-2.37828,0.0232294,0.869999;
104.834,-2.37743,0.0232216,0.879999;
104.834,-2.37662,0.0232139,0.889999;
104.834,-2.37583,0.023206,0.899999;
104.834,-2.37507,0.0231989,0.909999;
104.834,-2.37434,0.023192,0.919999;
104.834,-2.37363,0.0231851,0.929999;
104.834,-2.37295,0.0231786,0.939999;
104.834,-2.37228,0.0231721,0.949999;
104.833,-2.37163,0.0231659,0.959999;
104.833,-2.37098,0.0231597,0.969999;
104.833,-2.37034,0.0231537,0.979999;
104.833,-2.3697,0.0231471,0.989999;
104.833,-2.36905,0.0231407,0.999999;
104.833,-2.36839,0.0231345,1.01;
104.833,-2.3677,0.0231279,1.02;
104.833,-2.36698,0.0231208,1.03;
104.833,-2.36622,0.0231136,1.04;
104.833,-2.36542,0.023106,1.05;
104.833,-2.36457,0.0230978,1.06;
104.833,-2.36366,0.023089,1.07;
104.833,-2.3627,0.0230796,1.08;
104.833,-2.36168,0.0230699,1.09;
104.833,-2.36061,0.0230597,1.1;
104.833,-2.35948,0.0230486,1.11;
104.833,-2.35831,0.0230372,1.12;
104.833,-2.35711,0.0230259,1.13;
104.833,-2.35587,0.0230136,1.14;
104.833,-2.3546,0.0230013,1.15;
104.833,-2.35332,0.0229891,1.16;
104.833,-2.35204,0.0229762,1.17;
104.833,-2.35076,0.0229639,1.18;
104.833,-2.34949,0.0229515,1.19;
104.833,-2.34824,0.0229394,1.2;
104.833,-2.34702,0.0229274,1.21;
104.833,-2.34582,0.0229157,1.22;
104.833,-2.34466,0.0229046,1.23;
104.833,-2.34354,0.0228938,1.24;
104.833,-2.34246,0.022883,1.25;
104.833,-2.34143,0.0228731,1.26;
104.833,-2.34044,0.0228637,1.27;
104.833,-2.33949,0.0228546,1.28;
104.833,-2.33859,0.022846,1.29;
104.832,-2.33773,0.0228375,1.3;
104.832,-2.33692,0.0228298,1.31;
104.832,-2.33615,0.0228225,1.32;
104.832,-2.33542,0.0228154,1.33;
104.832,-2.33473,0.0228089,1.34;
104.832,-2.33408,0.022803,1.35;
104.832,-2.33346,0.022797,1.36;
104.832,-2.33287,0.0227916,1.37;
104.832,-2.33231,0.0227865,1.38;
104.832,-2.33179,0.0227817,1.39;
104.832,-2.33128,0.022777,1.4;
104.832,-2.33081,0.0227726,1.41;
104.832,-2.33035,0.0227685,1.42;
104.832,-2.32991,0.0227644,1.43;
104.832,-2.32949,0.0227602,1.44;
104.832,-2.32909,0.0227568,1.45;
104.832,-2.32871,0.0227529,1.46;
104.832,-2.32833,0.0227496,1.47;
104.832,-2.32797,0.0227466,1.48;
104.832,-2.32763,0.0227436,1.49;
104.832,-2.32729,0.0227404,1.5;
104.832,-2.32696,0.0227376,1.51;
104.832,-2.32664,0.0227345,1.52;
104.832,-2.32632,0.0227315,1.53;
104.832,-2.32602,0.0227291,1.54;
104.832,-2.32572,0.0227265,1.55;
104.832,-2.32542,0.0227237,1.56;
104.832,-2.32513,0.0227212,1.57;
104.832,-2.32485,0.0227186,1.58;
104.831,-2.32457,0.0227162,1.59;
104.831,-2.32429,0.0227138,1.6;
104.831,-2.32401,0.0227113,1.61;
104.831,-2.32373,0.022709,1.62;
104.831,-2.32344,0.0227065,1.63;
104.831,-2.32316,0.0227039,1.64;
104.831,-2.32287,0.0227014,1.65;
104.831,-2.32258,0.0226988,1.66;
104.831,-2.32227,0.0226961,1.67;
104.831,-2.32196,0.0226934,1.68;
104.831,-2.32164,0.0226905,1.69;
104.831,-2.3213,0.0226877,1.7;
104.831,-2.32096,0.0226847,1.71;
104.831,-2.3206,0.0226815,1.72;
104.831,-2.32022,0.0226783,1.73;
104.831,-2.31983,0.0226745,1.74;
104.831,-2.31942,0.0226705,1.75;
104.831,-2.31899,0.022667,1.76;
104.831,-2.31856,0.0226632,1.77;
104.831,-2.31811,0.022659,1.78;
104.831,-2.31764,0.0226549,1.79;
104.831,-2.31717,0.0226504,1.8;
104.831,-2.31668,0.022646,1.81;
104.831,-2.31619,0.0226415,1.82;
104.831,-2.31569,0.022637,1.83;
104.831,-2.3152,0.0226324,1.84;
104.831,-2.3147,0.0226275,1.85;
104.83,-2.3142,0.022623,1.86;
104.83,-2.31371,0.0226185,1.87;
104.83,-2.31323,0.0226143,1.88;
104.83,-2.31275,0.0226099,1.89;
104.83,-2.31227,0.0226058,1.9;
104.83,-2.3118,0.0226016,1.91;
104.83,-2.31134,0.0225974,1.92;
104.83,-2.31087,0.0225931,1.93;
104.83,-2.31041,0.022589,1.94;
104.83,-2.30993,0.0225843,1.95;
104.83,-2.30943,0.0225798,1.96;
104.83,-2.30891,0.0225752,1.97;
104.83,-2.30836,0.0225697,1.98;
104.83,-2.30776,0.0225643,1.99;
104.83,-2.30711,0.022558,2;
104.83,-2.30639,0.0225514,2.01;
104.83,-2.30559,0.0225439,2.02;
104.83,-2.3047,0.0225355,2.03;
104.83,-2.30372,0.0225263,2.04;
104.83,-2.30263,0.0225157,2.05;
104.83,-2.30143,0.0225043,2.06;
104.83,-2.30011,0.0224915,2.07;
104.83,-2.29868,0.0224777,2.08;
104.829,-2.29714,0.0224626,2.09;
