104.835,-0,0;
104.835,-2.55725,0.025003;
104.835,-2.56337,0.0250647;
104.835,-2.57019,0.0251327;
104.835,-2.57778,0.025209;
104.835,-2.58626,0.0252941;
104.835,-2.59576,0.0253895;
104.835,-2.6064,0.0254961;
104.835,-2.61835,0.0256162;
104.835,-2.63181,0.0257511;
104.835,-2.647,0.0259037;
104.835,-2.66418,0.0260759;
104.835,-2.68364,0.0262718;
104.835,-2.70572,0.0264933;
104.835,-2.73076,0.026745;
104.835,-2.75912,0.0270306;
104.835,-2.79105,0.0273523;
104.835,-2.82661,0.02771;
104.835,-2.8653,0.0280999;
104.835,-2.90559,0.0285063;
104.835,-2.94397,0.028894;
104.835,-2.97428,0.0292002;
104.835,-2.98855,0.0293445;
104.835,-2.98156,0.0292737;
104.835,-2.95535,0.0290093;
104.835,-2.91731,0.0286258;
104.835,-2.87478,0.0281967;
104.835,-2.83249,0.0277706;
104.835,-2.79279,0.0273713;
104.835,-2.75659,0.0270073;
104.835,-2.72404,0.0266798;
104.835,-2.69496,0.0263881;
104.835,-2.66903,0.0261279;
104.835,-2.64589,0.0258958;
104.835,-2.6252,0.0256883;
104.835,-2.60666,0.0255025;
104.835,-2.58998,0.0253354;
104.835,-2.57492,0.025185;
104.835,-2.56128,0.0250483;
104.835,-2.54889,0.0249244;
104.835,-2.53758,0.0248112;
104.835,-2.52722,0.0247079;
104.835,-2.51771,0.0246127;
104.835,-2.50895,0.0245253;
104.835,-2.50086,0.0244444;
104.835,-2.49336,0.0243697;
104.835,-2.48639,0.0243001;
104.835,-2.47989,0.0242354;
104.835,-2.47382,0.024175;
104.835,-2.46815,0.0241186;
104.835,-2.46282,0.0240654;
104.835,-2.45781,0.024016;
104.835,-2.45309,0.0239687;
104.835,-2.44865,0.0239246;
104.835,-2.44444,0.0238826;
104.835,-2.44047,0.0238429;
104.835,-2.4367,0.0238055;
104.835,-2.43313,0.0237702;
104.834,-2.42974,0.0237367;
104.834,-2.42652,0.0237043;
104.834,-2.42345,0.0236741;
104.834,-2.42054,0.0236454;
104.834,-2.41777,0.0236179;
104.834,-2.41513,0.0235919;
104.834,-2.41261,0.0235672;
104.834,-2.41022,0.0235432;
104.834,-2.40794,0.0235206;
104.834,-2.40576,0.0234991;
104.834,-2.40369,0.0234787;
104.834,-2.40172,0.0234595;
104.834,-2.39983,0.0234408;
104.834,-2.39804,0.0234227;
104.834,-2.39633,0.0234058;
104.834,-2.39471,0.02339;
104.834,-2.39316,0.023375;
104.834,-2.39168,0.0233602;
104.834,-2.39027,0.0233465;
104.834,-2.38892,0.0233332;
104.834,-2.38764,0.0233205;
